"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Extract Name"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Metabolite Assignment File"
"G-0.1-aliquot5"	"internal"	""	""	"metabolite extraction"	"G-0.1-aliquot5"	"G-0.1-aliquot5"	"foo-label"	""	""	"JIC50_GlucoseO2_0.10_Internal_2_1"	"JIC50_GlucoseO2_0.10_Internal_2_1.txt"	"glucose"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.1-aliquot6"	"internal"	""	""	"metabolite extraction"	"G-0.1-aliquot6"	"G-0.1-aliquot6"	"foo-label"	""	""	"JIC51_GlucoseO2_0.10_Internal_3_1"	"JIC51_GlucoseO2_0.10_Internal_3_1.txt"	"glucose"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.2-aliquot4"	"internal"	""	""	"metabolite extraction"	"G-0.2-aliquot4"	"G-0.2-aliquot4"	"foo-label"	""	""	"JIC52_GlucoseO2_0.20_Internal_1_1"	"JIC52_GlucoseO2_0.20_Internal_1_1.txt"	"glucose"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.2-aliquot5"	"internal"	""	""	"metabolite extraction"	"G-0.2-aliquot5"	"G-0.2-aliquot5"	"foo-label"	""	""	"JIC53_GlucoseO2_0.20_Internal_2_1"	"JIC53_GlucoseO2_0.20_Internal_2_1.txt"	"glucose"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.2-aliquot6"	"internal"	""	""	"metabolite extraction"	"G-0.2-aliquot6"	"G-0.2-aliquot6"	"foo-label"	""	""	"JIC54_GlucoseO2_0.20_Internal_3_1"	"JIC54_GlucoseO2_0.20_Internal_3_1.txt"	"glucose"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.07-aliquot1"	"external"	""	""	"metabolite extraction"	"G-0.07-aliquot1"	"G-0.07-aliquot1"	"foo-label"	""	""	"JIC100_GlucoseO2_0.07_External_1_1"	"JIC100_GlucoseO2_0.07_External_1_1.txt"	"glucose"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.07-aliquot1"	"external"	""	""	"metabolite extraction"	"G-0.07-aliquot1"	"G-0.07-aliquot1"	"foo-label"	""	""	"JIC100_GlucoseO2_0.07_External_1_2"	"JIC100_GlucoseO2_0.07_External_1_2.txt"	"glucose"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.07-aliquot2"	"external"	""	""	"metabolite extraction"	"G-0.07-aliquot2"	"G-0.07-aliquot2"	"foo-label"	""	""	"JIC101_GlucoseO2_0.07_External_2_1"	"JIC101_GlucoseO2_0.07_External_2_1.txt"	"glucose"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.07-aliquot3"	"external"	""	""	"metabolite extraction"	"G-0.07-aliquot3"	"G-0.07-aliquot3"	"foo-label"	""	""	"JIC102_GlucoseO2_0.07_External_3_1"	"JIC102_GlucoseO2_0.07_External_3_1.txt"	"glucose"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.1-aliquot1"	"external"	""	""	"metabolite extraction"	"G-0.1-aliquot1"	"G-0.1-aliquot1"	"foo-label"	""	""	"JIC103_GlucoseO2_0.10_External_1_1"	"JIC103_GlucoseO2_0.10_External_1_1.txt"	"glucose"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.1-aliquot2"	"external"	""	""	"metabolite extraction"	"G-0.1-aliquot2"	"G-0.1-aliquot2"	"foo-label"	""	""	"JIC104_GlucoseO2_0.10_External_2_1"	"JIC104_GlucoseO2_0.10_External_2_1.txt"	"glucose"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.1-aliquot3"	"external"	""	""	"metabolite extraction"	"G-0.1-aliquot3"	"G-0.1-aliquot3"	"foo-label"	""	""	"JIC105_GlucoseO2_0.10_External_3_1"	"JIC105_GlucoseO2_0.10_External_3_1.txt"	"glucose"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.2-aliquot1"	"external"	""	""	"metabolite extraction"	"G-0.2-aliquot1"	"G-0.2-aliquot1"	"foo-label"	""	""	"JIC106_GlucoseO2_0.20_External_1_1"	"JIC106_GlucoseO2_0.20_External_1_1.txt"	"glucose"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.2-aliquot2"	"external"	""	""	"metabolite extraction"	"G-0.2-aliquot2"	"G-0.2-aliquot2"	"foo-label"	""	""	"JIC107_GlucoseO2_0.20_External_2_1"	"JIC107_GlucoseO2_0.20_External_2_1.txt"	"glucose"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"G-0.2-aliquot3"	"external"	""	""	"metabolite extraction"	"G-0.2-aliquot3"	"G-0.2-aliquot3"	"foo-label"	""	""	"JIC108_GlucoseO2_0.20_External_3_1"	"JIC108_GlucoseO2_0.20_External_3_1.txt"	"glucose"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot1"	"internal"	""	""	"metabolite extraction"	"E-0.07-aliquot1"	"E-0.07-aliquot1"	"foo-label"	""	""	"JIC37_Ethanol_0.07_Internal_1_1"	"JIC37_Ethanol_0.07_Internal_1_1.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot1"	"internal"	""	""	"metabolite extraction"	"E-0.07-aliquot1"	"E-0.07-aliquot1"	"foo-label"	""	""	"JIC37_Ethanol_0.07_Internal_1_2"	"JIC37_Ethanol_0.07_Internal_1_2.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot1"	"internal"	""	""	"metabolite extraction"	"E-0.07-aliquot1"	"E-0.07-aliquot1"	"foo-label"	""	""	"JIC37_Ethanol_0.07_Internal_1_3"	"JIC37_Ethanol_0.07_Internal_1_3.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot2"	"internal"	""	""	"metabolite extraction"	"E-0.07-aliquot2"	"E-0.07-aliquot2"	"foo-label"	""	""	"JIC38_Ethanol_0.07_Internal_2_1"	"JIC38_Ethanol_0.07_Internal_2_1.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot3"	"internal"	""	""	"metabolite extraction"	"E-0.07-aliquot3"	"E-0.07-aliquot3"	"foo-label"	""	""	"JIC39_Ethanol_0.07_Internal_3_1"	"JIC39_Ethanol_0.07_Internal_3_1.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.1-aliquot1"	"internal"	""	""	"metabolite extraction"	"E-0.1-aliquot1"	"E-0.1-aliquot1"	"foo-label"	""	""	"JIC40_Ethanol_0.10_Internal_1_1"	"JIC40_Ethanol_0.10_Internal_1_1.txt"	"ethanol"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.1-aliquot2"	"internal"	""	""	"metabolite extraction"	"E-0.1-aliquot2"	"E-0.1-aliquot2"	"foo-label"	""	""	"JIC41_Ethanol_0.10_Internal_2_1"	"JIC41_Ethanol_0.10_Internal_2_1.txt"	"ethanol"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.1-aliquot3"	"internal"	""	""	"metabolite extraction"	"E-0.1-aliquot3"	"E-0.1-aliquot3"	"foo-label"	""	""	"JIC42_Ethanol_0.10_Internal_3_1"	"JIC42_Ethanol_0.10_Internal_3_1.txt"	"ethanol"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot4"	"external"	""	""	"metabolite extraction"	"E-0.07-aliquot4"	"E-0.07-aliquot4"	"foo-label"	""	""	"JIC91_Ethanol_0.07_External_1_1"	"JIC91_Ethanol_0.07_External_1_1.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot4"	"external"	""	""	"metabolite extraction"	"E-0.07-aliquot4"	"E-0.07-aliquot4"	"foo-label"	""	""	"JIC91_Ethanol_0.07_External_1_2"	"JIC91_Ethanol_0.07_External_1_2.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot4"	"external"	""	""	"metabolite extraction"	"E-0.07-aliquot4"	"E-0.07-aliquot4"	"foo-label"	""	""	"JIC91_Ethanol_0.07_External_1_3"	"JIC91_Ethanol_0.07_External_1_3.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot5"	"external"	""	""	"metabolite extraction"	"E-0.07-aliquot5"	"E-0.07-aliquot5"	"foo-label"	""	""	"JIC92_Ethanol_0.07_External_2_1"	"JIC92_Ethanol_0.07_External_2_1.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.07-aliquot6"	"external"	""	""	"metabolite extraction"	"E-0.07-aliquot6"	"E-0.07-aliquot6"	"foo-label"	""	""	"JIC93_Ethanol_0.07_External_3_1"	"JIC93_Ethanol_0.07_External_3_1.txt"	"ethanol"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.1-aliquot4"	"external"	""	""	"metabolite extraction"	"E-0.1-aliquot4"	"E-0.1-aliquot4"	"foo-label"	""	""	"JIC94_Ethanol_0.10_External_1_1"	"JIC94_Ethanol_0.10_External_1_1.txt"	"ethanol"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.1-aliquot5"	"external"	""	""	"metabolite extraction"	"E-0.1-aliquot5"	"E-0.1-aliquot5"	"foo-label"	""	""	"JIC95_Ethanol_0.10_External_2_1"	"JIC95_Ethanol_0.10_External_2_1.txt"	"ethanol"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"E-0.1-aliquot6"	"external"	""	""	"metabolite extraction"	"E-0.1-aliquot6"	"E-0.1-aliquot6"	"foo-label"	""	""	"JIC96_Ethanol_0.10_External_3_1"	"JIC96_Ethanol_0.10_External_3_1.txt"	"ethanol"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
