"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[standard volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[sample volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"E-0.1-aliquot3"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.1-aliquot3"	"JIC42_Ethanol_0.10_Internal_3_1"	"JIC42_Ethanol_0.10_Internal_3_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.1"	"l/hr"	""	""
"S-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.07-aliquot5"	"JIC82_Sulphate_0.07_External_1_1"	"JIC82_Sulphate_0.07_External_1_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.07"	"l/hr"	""	""
"S-0.07-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.07-aliquot6"	"JIC83_Sulphate_0.07_External_2_1"	"JIC83_Sulphate_0.07_External_2_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.07"	"l/hr"	""	""
"S-0.07-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.07-aliquot7"	"JIC84_Sulphate_0.07_External_3_1"	"JIC84_Sulphate_0.07_External_3_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.07"	"l/hr"	""	""
"S-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.07-aliquot5"	"JIC82_Sulphate_0.07_External_1_2"	"JIC82_Sulphate_0.07_External_1_2.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.07"	"l/hr"	""	""
"S-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.07-aliquot5"	"JIC82_Sulphate_0.07_External_1_3"	"JIC82_Sulphate_0.07_External_1_3.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.07"	"l/hr"	""	""
"S-0.1-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.1-aliquot5"	"JIC85_Sulphate_0.10_External_1_1"	"JIC85_Sulphate_0.10_External_1_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.1"	"l/hr"	""	""
"S-0.1-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.1-aliquot6"	"JIC86_Sulphate_0.10_External_2_1"	"JIC86_Sulphate_0.10_External_2_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.1"	"l/hr"	""	""
"S-0.2-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.2-aliquot5"	"JIC88_Sulphate_0.20_External_1_1"	"JIC88_Sulphate_0.20_External_1_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.2"	"l/hr"	""	""
"S-0.2-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.2-aliquot6"	"JIC89_Sulphate_0.20_External_2_1"	"JIC89_Sulphate_0.20_External_2_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.2"	"l/hr"	""	""
"S-0.2-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.2-aliquot7"	"JIC90_Sulphate_0.20_External_3_1"	"JIC90_Sulphate_0.20_External_3_1.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.2"	"l/hr"	""	""
"P-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.07-aliquot5"	"JIC73_Phosphate_0.07_External_1_1"	"JIC73_Phosphate_0.07_External_1_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.07"	"l/hr"	""	""
"P-0.07-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.07-aliquot6"	"JIC73_Phosphate_0.07_External_1_2"	"JIC73_Phosphate_0.07_External_1_2.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.07"	"l/hr"	""	""
"P-0.07-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.07-aliquot7"	"JIC73_Phosphate_0.07_External_1_3"	"JIC73_Phosphate_0.07_External_1_3.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.07"	"l/hr"	""	""
"P-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.07-aliquot5"	"JIC74_Phosphate_0.07_External_2_1"	"JIC74_Phosphate_0.07_External_2_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.07"	"l/hr"	""	""
"P-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.07-aliquot5"	"JIC75_Phosphate_0.07_External_3_1"	"JIC75_Phosphate_0.07_External_3_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.07"	"l/hr"	""	""
"P-0.1-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.1-aliquot5"	"JIC76_Phosphate_0.10_External_1_1"	"JIC76_Phosphate_0.10_External_1_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.1"	"l/hr"	""	""
"P-0.1-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.1-aliquot6"	"JIC77_Phosphate_0.10_External_2_1"	"JIC77_Phosphate_0.10_External_2_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.1"	"l/hr"	""	""
"P-0.1-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.1-aliquot7"	"JIC78_Phosphate_0.10_External_3_1"	"JIC78_Phosphate_0.10_External_3_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.1"	"l/hr"	""	""
"P-0.2-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.2-aliquot5"	"JIC79_Phosphate_0.20_External_1_1"	"JIC79_Phosphate_0.20_External_1_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.2"	"l/hr"	""	""
"P-0.2-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.2-aliquot6"	"JIC80_Phosphate_0.20_External_2_1"	"JIC80_Phosphate_0.20_External_2_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.2"	"l/hr"	""	""
"P-0.2-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.2-aliquot7"	"JIC81_Phosphate_0.20_External_3_1"	"JIC81_Phosphate_0.20_External_3_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.2"	"l/hr"	""	""
"N-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot5"	"JIC64_Nitrogen_0.07_External_1_1"	"JIC64_Nitrogen_0.07_External_1_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot5"	"JIC64_Nitrogen_0.07_External_1_2"	"JIC64_Nitrogen_0.07_External_1_2.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot5"	"JIC64_Nitrogen_0.07_External_1_3"	"JIC64_Nitrogen_0.07_External_1_3.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot6"	"JIC65_Nitrogen_0.07_External_2_1"	"JIC65_Nitrogen_0.07_External_2_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot7"	"JIC66_Nitrogen_0.07_External_3_1"	"JIC66_Nitrogen_0.07_External_3_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.1-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.1-aliquot5"	"JIC67_Nitrogen_0.10_External_1_1"	"JIC67_Nitrogen_0.10_External_1_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.1"	"l/hr"	""	""
"N-0.1-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.1-aliquot6"	"JIC68_Nitrogen_0.10_External_2_1"	"JIC68_Nitrogen_0.10_External_2_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.1"	"l/hr"	""	""
"N-0.1-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.1-aliquot7"	"JIC69_Nitrogen_0.10_External_3_1"	"JIC69_Nitrogen_0.10_External_3_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.1"	"l/hr"	""	""
"N-0.2-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.2-aliquot5"	"JIC70_Nitrogen_0.20_External_1_1"	"JIC70_Nitrogen_0.20_External_1_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.2"	"l/hr"	""	""
"N-0.2-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.2-aliquot6"	"JIC71_Nitrogen_0.20_External_2_1"	"JIC71_Nitrogen_0.20_External_2_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.2"	"l/hr"	""	""
"N-0.2-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.2-aliquot7"	"JIC72_Nitrogen_0.20_External_3_1"	"JIC72_Nitrogen_0.20_External_3_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.2"	"l/hr"	""	""
"C-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot5"	"JIC55_Carbon_0.07_External_1_1"	"JIC55_Carbon_0.07_External_1_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot5"	"JIC55_Carbon_0.07_External_1_2"	"JIC55_Carbon_0.07_External_1_2.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot5"	"JIC55_Carbon_0.07_External_1_3"	"JIC55_Carbon_0.07_External_1_3.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot6"	"JIC56_Carbon_0.07_External_2_1"	"JIC56_Carbon_0.07_External_2_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot7"	"JIC57_Carbon_0.07_External_3_1"	"JIC57_Carbon_0.07_External_3_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.1-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.1-aliquot5"	"JIC58_Carbon_0.10_External_1_1"	"JIC58_Carbon_0.10_External_1_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.1"	"l/hr"	""	""
"C-0.1-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.1-aliquot6"	"JIC59_Carbon_0.10_External_2_1"	"JIC59_Carbon_0.10_External_2_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.1"	"l/hr"	""	""
"C-0.1-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.1-aliquot7"	"JIC60_Carbon_0.10_External_3_1"	"JIC60_Carbon_0.10_External_3_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.1"	"l/hr"	""	""
"C-0.2-aliquot5"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.2-aliquot5"	"JIC61_Carbon_0.20_External_1_1"	"JIC61_Carbon_0.20_External_1_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.2"	"l/hr"	""	""
"C-0.2-aliquot6"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.2-aliquot6"	"JIC62_Carbon_0.20_External_2_1"	"JIC62_Carbon_0.20_External_2_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.2"	"l/hr"	""	""
"C-0.2-aliquot7"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.2-aliquot7"	"JIC63_Carbon_0.20_External_3_1"	"JIC63_Carbon_0.20_External_3_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.2"	"l/hr"	""	""
"G-0.07-aliquot1"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot1"	"JIC100_GlucoseO2_0.07_External_1_1"	"JIC100_GlucoseO2_0.07_External_1_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.07-aliquot1"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot1"	"JIC100_GlucoseO2_0.07_External_1_2"	"JIC100_GlucoseO2_0.07_External_1_2.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.07-aliquot2"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot2"	"JIC101_GlucoseO2_0.07_External_2_1"	"JIC101_GlucoseO2_0.07_External_2_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.07-aliquot3"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot3"	"JIC102_GlucoseO2_0.07_External_3_1"	"JIC102_GlucoseO2_0.07_External_3_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.1-aliquot1"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.1-aliquot1"	"JIC103_GlucoseO2_0.10_External_1_1"	"JIC103_GlucoseO2_0.10_External_1_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.1"	"l/hr"	""	""
"G-0.1-aliquot2"	"extracellular region part"	"CL"	"http://purl.obolibrary.org/obo/GO_0044421"	"metabolite extraction"	"20"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"1000"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.1-aliquot2"	"JIC104_GlucoseO2_0.10_External_2_1"	"JIC104_GlucoseO2_0.10_External_2_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.1"	"l/hr"	""	""
